"Excel Table 8: Differentially variable positions (p < 0.05) within the Bangladesh 850K study. Models adjusted for age, smoking status, and estimated cell type proportions.",,,,,,,,
CpG,logFC,p,pFDR,pBonferroni,Chromosome,Position,Gene,Feature category
cg08800318,0.91,5.41E-13,4.01E-07,4.01E-07,chr13,113104883,,
cg18127035,1.68,4.63E-12,1.72E-06,3.43E-06,chr19,48948957,GRWD1,TSS200
cg13673659,1.12,1.52E-11,3.75E-06,1.13E-05,chr1,40723876,ZMPSTE24;ZMPSTE24,5'UTR;1stExon
cg06981712,1.23,2.76E-11,5.11E-06,2.04E-05,chr14,89898815,FOXN3,5'UTR
cg05351880,1.41,5.05E-11,7.48E-06,3.74E-05,chr14,54426724,,
cg16306629,1.14,7.36E-10,8.12E-05,0.001,chr8,119128678,,
cg07847428,0.87,7.66E-10,8.12E-05,0.001,chr19,8478158,MARCH2;MARCH2;MARCH2,TSS200;TSS200;TSS200
cg08690812,0.98,9.02E-10,8.36E-05,0.001,chr11,18343758,GTF2H1;HPS5;HPS5;GTF2H1;HPS5,TSS200;TSS200;TSS200;TSS200;TSS200
cg10838744,0.63,2.76E-09,2.28E-04,0.002,chr4,7652252,SORCS2,Body
cg07944724,0.62,4.19E-09,3.11E-04,0.003,chr17,38297048,CASC3,Body
cg11278262,0.79,5.11E-09,3.44E-04,0.004,chr1,155146720,KRTCAP2;TRIM46,TSS1500;Body
cg19100453,0.58,6.56E-09,4.05E-04,0.005,chr3,112280678,ATG3;SLC35A5,TSS200;TSS1500
cg06980150,1.02,1.78E-08,0.001,0.013,chr11,19731874,NAV2,Body
cg24626312,0.81,2.57E-08,0.001,0.019,chr17,46671332,LOC404266;LOC404266;LOC404266;HOXB5;LOC404266,Body;Body;Body;TSS1500;Body
cg21248347,0.91,3.15E-08,0.002,0.023,chr15,78568978,DNAJA4;DNAJA4;DNAJA4,Body;Body;Body
cg26733645,1.04,5.33E-08,0.002,0.040,chr11,11805310,MIR8070,TSS1500
cg11032634,1.27,5.61E-08,0.002,0.042,chr22,19929254,TXNRD2;COMT,1stExon;TSS200
cg01110114,1.01,6.49E-08,0.003,0.048,chr2,61192536,PUS10,Body
cg20650802,1.68,8.60E-08,0.003,0.064,chr6,30712307,IER3;IER3,5'UTR;1stExon
cg18208127,0.38,1.42E-07,0.005,0.105,chr22,46577036,PPARA;PPARA,5'UTR;5'UTR
cg00629117,1.87,1.45E-07,0.005,0.108,chr16,1844932,IGFALS;IGFALS;IGFALS,TSS200;TSS1500;TSS1500
cg19412217,1.05,1.69E-07,0.006,0.125,chr5,56472579,GPBP1;GPBP1,5'UTR;5'UTR
cg09135113,0.53,2.71E-07,0.008,0.201,chr1,54304127,TMEM48;TMEM48;TMEM48;TMEM48;TMEM48,5'UTR;1stExon;1stExon;Body;5'UTR
cg21672425,0.93,2.79E-07,0.008,0.207,chr9,99616615,ZNF782,TSS1500
cg23961517,0.63,2.84E-07,0.008,0.211,chr5,40755284,TTC33,5'UTR
cg02056156,0.46,3.25E-07,0.009,0.241,chr1,22089742,USP48;USP48,Body;Body
cg10220361,0.31,3.41E-07,0.009,0.253,chr5,141105602,,
cg01717881,0.30,5.31E-07,0.014,0.394,chr17,122697,RPH3AL,Body
cg14091347,0.38,5.65E-07,0.014,0.419,chr10,25237879,PRTFDC1,Body
cg07567800,0.33,5.86E-07,0.014,0.434,chr6,149358802,UST,Body
cg23888154,0.86,6.00E-07,0.014,0.445,chr4,42659286,ATP8A1;ATP8A1,TSS200;TSS200
cg03205258,1.09,6.71E-07,0.016,0.497,chr22,19929274,TXNRD2;COMT;COMT,1stExon;1stExon;5'UTR
cg21012383,0.69,7.20E-07,0.016,0.534,chr1,225616007,LBR;LBR,5'UTR;TSS200
cg22620228,0.45,7.50E-07,0.016,0.556,chr8,62826436,,
cg26419304,0.38,7.62E-07,0.016,0.565,chr12,123647630,MPHOSPH9;MPHOSPH9,Body;Body
cg09886360,1.06,8.19E-07,0.017,0.607,chr10,43634423,CSGALNACT2,5'UTR
cg23136742,0.78,8.55E-07,0.017,0.634,chr2,26950956,KCNK3,Body
cg05425107,0.32,8.90E-07,0.017,0.660,chr4,184592403,TRAPPC11;TRAPPC11,Body;Body
cg05727666,0.82,9.65E-07,0.018,0.715,chr1,67328909,WDR78;WDR78,Body;Body
cg05670175,0.70,9.85E-07,0.018,0.730,chr6,47748844,OPN5,TSS1500
cg03256616,0.74,9.94E-07,0.018,0.737,chr5,68658355,AK6;AK6,Body;Body
cg20845627,0.52,1.08E-06,0.019,0.798,chr10,18762622,CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2,Body;Body;Body;Body;Body;Body;Body;Body;Body
cg01363410,0.47,1.17E-06,0.020,0.864,chr5,156792703,CYFIP2;CYFIP2;CYFIP2;CYFIP2,Body;Body;Body;Body
cg12969108,0.45,1.22E-06,0.021,0.903,chr11,84835381,DLG2,Body
cg11760016,1.05,1.25E-06,0.021,0.926,chr8,110347041,NUDCD1;ENY2;ENY2;ENY2;ENY2,TSS1500;5'UTR;Body;Body;Body
cg01842276,0.48,1.35E-06,0.022,1.000,chr8,133288494,KCNQ3;KCNQ3,Body;Body
cg24561600,0.75,1.43E-06,0.023,1.000,chr11,115158206,CADM1;CADM1;CADM1;CADM1;CADM1,Body;Body;Body;Body;Body
cg19440707,0.73,2.18E-06,0.034,1.000,chr6,89792172,PNRC1,Body
cg13898510,0.42,2.59E-06,0.039,1.000,chr10,12087933,,
